lat,lon,issue,culture,info,link
40.603524, -96.434845,<h3>Example Webpage</h3>,<h4>Example Community/Culture</h4>,"The preliminary surveys of Gebel el-Haridi revealed significant archaeological material from the Old Kingdom to the Coptic period. The archaeological remains that were discovered illustrate several types of continued occupation at the site. A large stone quarry, rock-cut tombs used as necropolis and an enclosed mud-brick settlement were all found within the boundaries. George Wilkinson, Robert Hay, Nestor L’Hote and Bonomi traveled the Gebel el-Haridi region during the nineteenth century. These men recorded what they saw as they travelled through the region, such as Ptolemaic quarries, Christian brick ruins, tombs, and mutilated statues.","<a href='sites/gebel-el-haridi/gebel-el-haridi.html'>MORE DETAILS</a>"
19.32541,-155.35222,<h3>Hawaiian Blood Quantum and Land Rights</h3>,<h4>Native Hawaiians</h4>,"Native Hawaiians have been fighting for equal rights and representation for a long time. Their country has become a place for tourism and their lands have been taken from them. They are fighting for the return of their lands the only way they know how, with blood quantum. They are using their percentage of Native Hawaiian blood to claim back lands and this is helpful to their cause, but harmful to other Native Hawaiians who fall short of the legal blood quantum.","<a href='sites/hawaiian-bld-quant/hawaiian-bld-quant.html'>MORE DETAILS</a>"
45.72322,-101.215148,<h3>Sexual Assault</h3>,<h4>Standing Rock Reservation: Sioux Tribe</h4>,"**TRIGGER WARNING:This article contains information about sexual assault and/or violence which may be triggering to survivors**<br><br>Sexual assault is a prominent issue that has been affecting all areas across the United States for many years. Standing Rock Reservation and the Sioux Tribe have been heavily affected by sexual violence. Various aspects influence the influx of sexual assault within Standing Rock Reservation including long-standing violent ideology created through colonization.","<a href='sites/sexual-assault-at-standing-rock/sexual-assault-at-standing-rock.html'>MORE DETAILS</a>"
67.729802,-164.542664,<h3> climate-change-alaska</h3>,"<h4> Kivalina, Alaska </h4>","Climate change isn't tangible, but the effects are palpable. It is a natural, cyclical phenomenon, however, humans have exacerbated the process immensely. Due to careless human activity, polar ice caps are melting and increasing the sea levels. This often goes unseen by inland residents, but the coast is suffering. Due to the increased sea levels, many native Alaskan populations have been forced to adapt and, sometimes, even relocate.","<a href='sites/climate-change-alaska/climate-change-alaska.html'>MORE DETAILS</a>"
71.289838,-156.768158,<h3>Seasonal Affective Disorder Among Arctic Natives</h3>,<h4> Inupiat Eskimos</h4>,"Inupiat Eskimos, along with their other Arctic Native and Native American cousins, experience significantly higher rates of mental illness than the rest of the US population. One reason for the high levels of mental illness in Arctic Natives can be attributed to the annual long periods of complete darkness and light. These extremes can lead to a condition called Seasonal Affective Disorder (SAD) that is known to cause higher instances of mental illness.","<a href='sites/sad-among-an/sad-among-an.html'>MOREDETAILS</a>"
46.003153,-115.628909,<h3>Wildfires in the US Northwest</h3>,"<h4>Washinton, Montana, Oregon, Wyoming, and Idaho</h4>","The fire season, generally, begins at the end of spring and persists into the fall. On some occasions, however, the fires will persist until the first snow fall of the season. The northwest includes states such as Washington, Idaho, Wyoming, Oregon, and Montana, but other states, such as California, Colorado, and (occasionally) Arizona, also suffer from frequent wildfires. Due to these fires, Indigenous communities may suffer from loss of economical income, their livelihoods, their homes, family members, livestock, and many other factors. Some of the most detrimental fires in recent years to federally recognized tribes includes the Spotted Eagle Fire (MT), Carpenter Road Fire (WA), Cougar Creek Fire (WA), and the North Star Fire (WA).","<a href='sites/wildfires-in-the-us-northwest/wildfires-in-the-us-northwest.html'> MORE DETAILS</a>"
36.762272,-109.488402,<h3>Teenage Pregnancy and Contraceptive Use</h3>,<h4>Navajo Nation</h4>,,"<a href='sites/navajo-teen-pregnancy/navajo-teen-pregnancy.html'>MORE DETAILS</a>"
50.856469,-93.878657,<h3>river pollution and clearcutting</h3>,<h4>grassy narrows</h4>,"The community of Grassy Narrows, located in Ontario, Canada, has historically dealt with several hardships relating to the environment that sustains them. First came relocation, causing social turmoil and unrest, followed by several environmental injustices such as river pollution and clear-cutting. With collaborative activism, this community has fought back against these injustices and is working towards gaining fair compensation for the wrongs done unto them.","<a href='sites/grassy-narrows/grassy-narrows.html'>MORE DETAILS</a>"
43.161026,-102.370637,<h3>Intergenerational Trauma Among the Lakota People</h3>,<h4>Lakota People</h4>,"Intergenerational trauma, or historical trauma, is the consequence of the continued oppression and abuse of a group of people and how these past abuses continue to negatively impact across generations. This study will be looking particularly at the Lakota peoples and how colonialism in particular has impacted past generations and how that trauma has been continued and transmitted into current generations. The study will be looking at the effects of historical trauma, as well as how the Lakota people specifically are impacted. Finally, this study will be looking at the steps being taken to prevent this type of issue from worsening, as well as looking at ways to heal and improve the lives of those who are affected.","<a href='sites/lakota-generational-trauma/lakota-generational-trauma.html'>MORE DETAILS</a>"
45.461111,-98.485991,<h3>Infant Mortality and SIDS</h3>,<h4>Abeerdeen Indian Health Service Area</h4>,"Infant mortality rates within Indigenous American communities, both on and off reservations, are significantly higher than their Caucasian counterparts. The high rate of SIDS and lacking prenatal education has formed a crisis for Native American communities as they begin or continue on paths of cultural rehabilitation. Children are the hope Indigenous people hold for a brighter future, but infant mortality may stand to prevent this future from becoming a reality.","<a href='sites/indigenous-child-mortality/indigenous-child-mortality.html'>MORE DETAILS</a>"
